date,tvl,asset_type
2022-03-02 00:00:00,0.0,ITS
2022-03-03 00:00:00,77715.08077,non-ITS
2022-03-03 00:00:00,0.0,ITS
2022-03-04 00:00:00,71396.27423,non-ITS
2022-03-04 00:00:00,0.0,ITS
2022-03-05 00:00:00,0.0,ITS
2022-03-05 00:00:00,67815.73437,non-ITS
2022-03-06 00:00:00,67534.46798,non-ITS
2022-03-06 00:00:00,0.0,ITS
2022-03-07 00:00:00,65576.28237,non-ITS
2022-03-07 00:00:00,0.0,ITS
2022-03-08 00:00:00,67716.57846,non-ITS
2022-03-08 00:00:00,0.0,ITS
2022-03-09 00:00:00,0.0,ITS
2022-03-09 00:00:00,71295.03405,non-ITS
2022-03-10 00:00:00,68692.85178,non-ITS
2022-03-10 00:00:00,0.0,ITS
2022-03-11 00:00:00,0.0,ITS
2022-03-11 00:00:00,68250.68333,non-ITS
2022-03-12 00:00:00,68665.198,non-ITS
2022-03-12 00:00:00,0.0,ITS
2022-03-13 00:00:00,68156.29543,non-ITS
2022-03-13 00:00:00,0.0,ITS
2022-03-14 00:00:00,67982.06787,non-ITS
2022-03-14 00:00:00,0.0,ITS
2022-03-15 00:00:00,0.0,ITS
2022-03-15 00:00:00,67321.27238,non-ITS
2022-03-16 00:00:00,68733.45331,non-ITS
2022-03-16 00:00:00,0.0,ITS
2022-03-17 00:00:00,77003.19811,non-ITS
2022-03-17 00:00:00,0.0,ITS
2022-03-18 00:00:00,78607.19206,non-ITS
2022-03-18 00:00:00,0.0,ITS
2022-03-19 00:00:00,81400.65676,non-ITS
2022-03-19 00:00:00,0.0,ITS
2022-03-20 00:00:00,0.0,ITS
2022-03-20 00:00:00,80049.08275,non-ITS
2022-03-21 00:00:00,80177.94529,non-ITS
2022-03-21 00:00:00,0.0,ITS
2022-03-22 00:00:00,0.0,ITS
2022-03-22 00:00:00,83009.94937,non-ITS
2022-03-23 00:00:00,82489.54414,non-ITS
2022-03-23 00:00:00,0.0,ITS
2022-03-24 00:00:00,0.0,ITS
2022-03-24 00:00:00,2084118.28,non-ITS
2022-03-25 00:00:00,0.0,ITS
2022-03-25 00:00:00,6086311.601,non-ITS
2022-03-26 00:00:00,0.0,ITS
2022-03-26 00:00:00,6088422.298,non-ITS
2022-03-27 00:00:00,0.0,ITS
2022-03-27 00:00:00,6090135.315,non-ITS
